timestamp,conflicts_predicted,conflicts_accurately_predicted,recommendations_generated,recommendations_accepted,false_positive_rate,prediction_accuracy,recommendation_acceptance_rate,average_response_time_ms
2025-09-14T12:38:11.346420,2,1,3,0,0.15,0.89,0.0,245
2025-09-14T12:38:14.365172,1,0,3,0,0.15,0.91,0.0,260
2025-09-14T12:38:17.381214,2,1,3,0,0.15,0.9299999999999999,0.0,275
2025-09-14T12:38:20.392526,3,2,3,0,0.15,0.95,0.0,245
2025-09-14T12:38:23.398968,3,2,3,0,0.15,0.87,0.0,260
2025-09-14T12:38:26.432519,3,2,3,0,0.15,0.89,0.0,275
2025-09-14T12:38:29.448534,3,2,3,0,0.15,0.91,0.0,245
2025-09-14T12:38:32.466764,3,2,4,0,0.15,0.9299999999999999,0.0,260
2025-09-14T12:38:35.472600,3,2,3,0,0.15,0.95,0.0,275
2025-09-14T12:38:38.478186,3,2,3,0,0.15,0.87,0.0,245
2025-09-14T12:38:41.499743,2,1,3,0,0.15,0.89,0.0,260
2025-09-14T12:38:44.509125,3,2,3,0,0.15,0.91,0.0,275
2025-09-14T12:38:47.511737,1,0,3,0,0.15,0.9299999999999999,0.0,245
2025-09-14T12:38:50.525713,3,2,3,0,0.15,0.95,0.0,260
2025-09-14T12:38:53.526322,4,3,3,0,0.15,0.87,0.0,275
2025-09-14T12:38:56.546382,2,1,3,0,0.15,0.89,0.0,245
2025-09-14T12:38:59.558013,2,1,3,0,0.15,0.91,0.0,260
2025-09-14T12:39:02.565750,3,2,3,0,0.15,0.9299999999999999,0.0,275
2025-09-14T12:39:05.575962,4,3,3,0,0.15,0.95,0.0,245
2025-09-14T12:39:08.586873,3,2,3,0,0.15,0.87,0.0,260
2025-09-14T12:39:11.621651,3,2,3,0,0.15,0.89,0.0,275
